City_ID,City,Latitude,Longitude,Max Temperature (°C),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
59,Mataura,-46.1927,168.8643,49.75,95,11,2.55,NZ,1672246968
60,Vao,-22.6667,167.4833,77.34,86,100,12.64,NC,1672246969
61,Prachuap Khiri Khan,12.2167,99.75,64.02,75,28,3.4,TH,1672246969
62,Port-Gentil,-0.7193,8.7815,84.16,74,40,10.36,GA,1672246970
63,Sivas Province,39.7916,37.0019,35.46,78,87,3.09,TR,1672246857
64,Margate,51.3813,1.3862,52.9,93,100,11.01,GB,1672246958
65,Kifrī,34.6959,44.9661,52.97,54,36,6.35,IQ,1672246972
66,Khāsh,28.2211,61.2158,52.09,72,54,15.08,IR,1672246973
67,Albany,42.6001,-73.9662,37.94,67,100,1.99,US,1672246973
68,Hasaki,35.7333,140.8333,32.4,57,26,9.71,JP,1672246974
69,Volkhov,59.9258,32.3382,18.63,99,63,3.71,RU,1672246975
70,Locri,38.2414,16.2623,56.32,81,0,7.05,IT,1672246954
71,Dunedin,-45.8742,170.5036,59.81,95,0,1.99,NZ,1672246976
72,Hithadhoo,-0.6,73.0833,80.98,72,60,5.64,MV,1672246976
73,Qaanaaq,77.484,-69.3632,-18.17,93,99,4.94,GL,1672246977
74,Beloha,-25.1667,45.05,77.99,74,28,5.44,MG,1672246978
75,Plettenberg Bay,-34.0527,23.3716,68.09,79,40,7.54,ZA,1672246978
76,Kapaa,22.0752,-159.319,70.12,96,55,10.33,US,1672246979
77,Patāmundai,20.5667,86.5667,70.11,76,22,3.56,IN,1672246979
78,Vitim,59.4511,112.5578,10.56,94,100,7.78,RU,1672246979
79,Menongue,-14.6585,17.691,77.07,48,88,8.3,AO,1672246980
80,Port Blair,11.6667,92.75,77.61,68,61,7.31,IN,1672246980
81,Udachny,66.4167,112.4,-11.97,97,100,10.07,RU,1672246980
82,Pangody,65.85,74.4859,-20.31,100,96,5.39,RU,1672246981
83,Carbondale,37.7273,-89.2168,44.06,58,0,18.41,US,1672246982
84,Naze,28.3667,129.4833,58.8,79,98,11.83,JP,1672246982
85,Nanortalik,60.1432,-45.2371,24.48,81,98,6.46,GL,1672246983
86,Port Alfred,-33.5906,26.891,71.19,84,24,1.01,ZA,1672246985
87,Orlik,52.5178,99.825,-9.6,92,97,2.08,RU,1672246985
88,Aquiraz,-3.9014,-38.3911,87.89,61,20,15.35,BR,1672246986
89,San Cristobal,7.7669,-72.225,85.01,37,12,4.76,VE,1672246986
90,Barrow,71.2906,-156.7887,-9.38,77,0,17.27,US,1672246987
91,Rabat,33.9911,-6.8401,64.04,81,80,4.61,MA,1672246850
92,Chokurdakh,70.6333,147.9167,-18.58,98,99,5.73,RU,1672246988
93,Carnarvon,-24.8667,113.6333,81.72,62,92,7.54,AU,1672246989
94,Provideniya,64.3833,-173.3,-2.31,86,91,9.73,RU,1672246989
95,Makakilo City,21.3469,-158.0858,73.69,77,47,8.57,US,1672246990
96,Severo-Kuril'sk,50.6789,156.125,28.06,78,85,15.39,RU,1672246991
97,Tiksi,71.6872,128.8694,-19.43,100,100,4.32,RU,1672246870
98,Nipawin,53.3668,-104.0009,-3.96,77,100,12.66,CA,1672246991
99,Jamestown,42.097,-79.2353,40.71,57,0,14.97,US,1672246993
100,Port Lincoln,-34.7333,135.8667,57.0,65,9,11.18,AU,1672246994
101,Alta Floresta,-9.8756,-56.0861,78.03,87,94,5.3,BR,1672246797
102,Sitka,57.0531,-135.33,31.98,92,89,4.65,US,1672246995
103,Hilo,19.7297,-155.09,69.62,78,64,5.01,US,1672246995
104,Hofn,64.2539,-15.2082,25.59,82,100,22.91,IS,1672246878
105,Vésztő,46.9167,21.2667,36.18,75,91,5.7,HU,1672246996
